materi,total
AMBANG ATAS,36
AMBANG BAWAH,36
T KAIT,34
T SLIDE,34
PANEL,30
OB4'' + LSK,23
1/2M + TUTUP,22
OB3'' + BELL ATAS,21
M3'' + TATAPAN,18
M4'' + TUTUP GOT,17
OB3'' + TATAPAN,17
OB3'' + BELL BAWAH,13
M4'',12
OB3'' + TUTUP M + BELL BAWAH,9
OB4'' + TUTUP M,9
TIANG MOHER DEPAN,9
TIANG MOHER SAMPING,9
M3'' + TUTUP M,6
M4'' + TUTUP M,5
M3'',4
OB4'' + TUTUP P,1
